"","gene_names"
"679","ENSMUSG00000037279"
"680","ENSMUSG00000084837"
"681","ENSMUSG00000027429"
"682","ENSMUSG00000027430"
"683","ENSMUSG00000027431"
"684","ENSMUSG00000002728"
"685","ENSMUSG00000001767"
"686","ENSMUSG00000074749"
"687","ENSMUSG00000027433"
"688","ENSMUSG00000054160"
"689","ENSMUSG00000036992"
"690","ENSMUSG00000027439"
"691","ENSMUSG00000027442"
"692","ENSMUSG00000027447"
"693","ENSMUSG00000033068"
"694","ENSMUSG00000032046"
"695","ENSMUSG00000027454"
"696","ENSMUSG00000068115"
"697","ENSMUSG00000027455"
"698","ENSMUSG00000087433"
"699","ENSMUSG00000032966"
"700","ENSMUSG00000032869"
"701","ENSMUSG00000086800"
"702","ENSMUSG00000027465"
"703","ENSMUSG00000027466"
"704","ENSMUSG00000032680"
"705","ENSMUSG00000087148"
"706","ENSMUSG00000019188"
"707","ENSMUSG00000042814"
"708","ENSMUSG00000007659"
"709","ENSMUSG00000027469"
"710","ENSMUSG00000042662"
"711","ENSMUSG00000074673"
"712","ENSMUSG00000068040"
"713","ENSMUSG00000027475"
"714","ENSMUSG00000042548"
"715","ENSMUSG00000061411"
"716","ENSMUSG00000056941"
"717","ENSMUSG00000027479"
"718","ENSMUSG00000038533"
"719","ENSMUSG00000038523"
"720","ENSMUSG00000038467"
"721","ENSMUSG00000027593"
"722","ENSMUSG00000074656"
"723","ENSMUSG00000027598"
"724","ENSMUSG00000027602"
"725","ENSMUSG00000038369"
"726","ENSMUSG00000027605"
"727","ENSMUSG00000038324"
"728","ENSMUSG00000038312"
"729","ENSMUSG00000027613"
"730","ENSMUSG00000005882"
"731","ENSMUSG00000005881"
"732","ENSMUSG00000038180"
"733","ENSMUSG00000027618"
"734","ENSMUSG00000067847"
"735","ENSMUSG00000027620"
"736","ENSMUSG00000038116"
"737","ENSMUSG00000046229"
"738","ENSMUSG00000038085"
"739","ENSMUSG00000027628"
"740","ENSMUSG00000061689"
"741","ENSMUSG00000027637"
"742","ENSMUSG00000027634"
"743","ENSMUSG00000027635"
"744","ENSMUSG00000074627"
"745","ENSMUSG00000027642"
"746","ENSMUSG00000063019"
"747","ENSMUSG00000027649"
"748","ENSMUSG00000052922"
"749","ENSMUSG00000037761"
"750","ENSMUSG00000070544"
"751","ENSMUSG00000016921"
"752","ENSMUSG00000017858"
"753","ENSMUSG00000070708"
"754","ENSMUSG00000035399"
"755","ENSMUSG00000017707"
"756","ENSMUSG00000035268"
"757","ENSMUSG00000018326"
"758","ENSMUSG00000018322"
"759","ENSMUSG00000051769"
"760","ENSMUSG00000045503"
"761","ENSMUSG00000017721"
"762","ENSMUSG00000076434"
"763","ENSMUSG00000017299"
"764","ENSMUSG00000001403"
"765","ENSMUSG00000017307"
"766","ENSMUSG00000045822"
"767","ENSMUSG00000017764"
"768","ENSMUSG00000039849"
"769","ENSMUSG00000085436"
"770","ENSMUSG00000039804"
"771","ENSMUSG00000017664"
"772","ENSMUSG00000042854"
"773","ENSMUSG00000002718"
"774","ENSMUSG00000039536"
"775","ENSMUSG00000017999"
"776","ENSMUSG00000085151"
"777","ENSMUSG00000006418"
"778","ENSMUSG00000027540"
"779","ENSMUSG00000078919"
"780","ENSMUSG00000074576"
"781","ENSMUSG00000013523"
"782","ENSMUSG00000052033"
"783","ENSMUSG00000043583"
"784","ENSMUSG00000084829"
"785","ENSMUSG00000086823"
"786","ENSMUSG00000027496"
"787","ENSMUSG00000027498"
"788","ENSMUSG00000027502"
"789","ENSMUSG00000027505"
"790","ENSMUSG00000005883"
"791","ENSMUSG00000027509"
"792","ENSMUSG00000027518"
"793","ENSMUSG00000027517"
"794","ENSMUSG00000055897"
"795","ENSMUSG00000027519"
"796","ENSMUSG00000057047"
"797","ENSMUSG00000054455"
"798","ENSMUSG00000027522"
"799","ENSMUSG00000086537"
"800","ENSMUSG00000027523"
"801","ENSMUSG00000016253"
"802","ENSMUSG00000016252"
"803","ENSMUSG00000016257"
"804","ENSMUSG00000027525"
"805","ENSMUSG00000060445"
"806","ENSMUSG00000039138"
"807","ENSMUSG00000085704"
"808","ENSMUSG00000039108"
"809","ENSMUSG00000027566"
"810","ENSMUSG00000039069"
"811","ENSMUSG00000039041"
"812","ENSMUSG00000039001"
"813","ENSMUSG00000038990"
"814","ENSMUSG00000027569"
"815","ENSMUSG00000049401"
"816","ENSMUSG00000038932"
"817","ENSMUSG00000038914"
"818","ENSMUSG00000027573"
"819","ENSMUSG00000038848"
