"","scale_factors"
"154",2.69201468452444
"155",2.15131008211007
"156",2.31167510762608
"157",0.618396925398547
"158",1.94614719754728
"159",0.636749808578336
"160",0.758811841283153
"161",2.43800417547916
"162",0.350263994538891
"163",1.92538190938463
"164",1.04733614811689
"165",0.286019739435364
"166",0.80136895392904
"167",1.50053291532178
"168",0.416684126691457
"169",1.24878189240804
"170",0.30600430800667
"171",0.721524371837112
"172",2.69836671986724
"173",1.08292860683116
"174",1.70248968475074
"175",1.81202949112229
"176",0.524126175708823
"177",0.271310682192701
"178",0.675035332636853
"179",1.02623149266213
"180",0.647443048982593
"181",0.433831124888222
"182",0.280294375300184
"183",1.18390941649718
"184",0.802382403609339
"185",2.52773316505154
"186",0.447590634565177
"187",2.33706417562314
"188",0.298436297519519
"189",1.23011804225487
"190",0.712147683432829
"191",0.634439644495633
"192",1.65638944152683
"193",0.380096102829915
"194",0.4787801205217
"195",1.03826059910609
"196",0.698200104001025
"197",0.62622704457059
"198",0.605211870667133
"199",0.390261342668419
"200",0.495977266253793
"201",0.562396866336855
"202",1.70043698331353
"203",1.86054065283748
"204",1.9634290999457
"205",1.1001175209459
"206",0.602390305803752
"207",0.408458355743512
"208",0.740393096235075
"209",1.13853626461189
"210",0.960919764120448
"211",0.564235286355024
"212",1.02266722773594
"213",0.776699621964611
"214",1.04943704163106
"215",0.614256101609766
"216",1.84983270411781
"217",1.11963033543971
"218",0.776855290444008
"219",0.475493682660157
"220",0.395733189377217
"221",0.865498486268203
"222",0.970159870234117
"223",0.364253996672712
"224",0.504498666714205
"225",0.61779397147899
"226",1.63884121016834
"227",2.41072904457784
"228",0.395634727360721
"229",0.347774613742175
"230",1.72949230685745
"231",0.362180287975167
"232",2.6714356324679
"233",0.988843073571285
"234",1.63219615444007
"235",1.34289869919301
"236",1.31669118933755
"237",0.665185872860198
"238",0.580746321791203
"239",0.980540110195704
"240",0.808440280018905
"241",1.49254030969304
"242",0.366843953128193
"243",0.37150807382328
"244",0.498431239343001
"245",0.904250073569972
"246",1.34608995561271
