"","pst_PC","pst_Monocle"
"608",0.475477158749132,0.23804145818901
"611",0.872158418947266,0.548152994360713
"612",0.851104778321718,0.547983129479507
"618",0.0455429562451506,0.00795158346005694
"621",0.611304264421743,0.353136621875349
"622",0.809196461597444,0.544843649027233
"633",0.624687046624009,0.365633481245107
"641",0.872158418947266,0.549083523613977
"642",0.322491443769373,0.0987341871249944
"646",0.587141736994317,0.330848431893858
"669",0.514498688157707,0.260147163169987
"674",0.210797991424649,0.0223504635561132
"683",0.764256370407556,0.526680603638028
"691",0.0711889390678231,0.00954306098924464
"693",0.814363851969742,0.545296273241672
"695",0.23306695024994,0.0246611694561839
"700",0.0309131534669247,0.00520898018034512
"701",0.656492796307612,0.399408320385532
"702",0.249823775544475,0.0264074831279284
"709",0.686387024332711,0.431667104413949
"716",0.585989442939029,0.330819078272514
"723",0.872158418947266,0.549152800532377
"728",0.549557116174721,0.294001681471038
"732",0.872158418947266,0.549462943509876
"734",0.521144826049088,0.269806995378545
"749",0.872158418947266,0.548987763581033
"759",0.562227403578619,0.308201100012194
"760",0.378534783917396,0.160357866743668
"763",0.689974862786831,0.435477808485052
"765",0.596848141229375,0.344469554141439
"772",0.704400953539192,0.455008958148088
"775",0.845750055761511,0.548116390912404
"787",0.263028013808816,0.0360418133240331
"794",0.872158418947266,0.549258484438996
"796",0.193555973869467,0.0204756030954637
"798",0.305367861760549,0.0759004590016127
"801",0.802093352425342,0.544189019637389
"817",0.847516063349349,0.548498127484588
"830",0.498559980281619,0.249163346884248
"838",0.55802127669873,0.303730428566504
"842",0.489203135742932,0.248523252870952
"848",0.70189772651969,0.451072464824637
"851",0.622150767564589,0.361605446949645
"856",0.0150398104645138,0.00462226300954909
"859",0.862409286110671,0.548586992959981
"860",0.238158192671018,0.0249830543050153
"865",0.627041527328673,0.365927509160927
"867",0.801100462068652,0.54366260283171
"875",0.723325772401247,0.477974174782982
"880",0.285768296994877,0.0538075127450743
"885",0.122847539959061,0.0146056790999169
"904",0.763549277838189,0.526458669661522
"909",0.139639860466296,0.015252181351015
"914",0.383281056008316,0.169829515371573
"915",0.532150119835734,0.274602386624959
"916",0.0164471663394495,0.00481444896594882
"921",0.213886157349482,0.0224950087070218
"922",0.532667713058663,0.279458455259731
"933",0.258833505206967,0.0274878601848319
"934",0.531526927664693,0.279517085929443
"940",0.752496582561388,0.512050281202272
"946",0.191191165455017,0.0207688908928515
"949",0.8145686705766,0.545110422487991
"954",0.526918239908901,0.270039896319758
"956",0.691131216695549,0.439306439666341
"959",0.598639297540603,0.340094058493339
"961",0.688383078987431,0.435818368806381
"966",0.289669735003168,0.0623325823446522
"967",0.324650057644756,0.103017506397531
"980",0.794206539493454,0.543337688738029
"982",0.123993787431279,0.0135543015881904
"984",0.764352009984736,0.526544857709856
"993",0.588164208902833,0.330925275135039
"1007",0.353874615029889,0.145630628565311
"1013",0.254862692815819,0.0267231159016136
"1014",0.766867624062259,0.533668789930068
"1016",0.753014393858243,0.504239121191851
"1030",0.866509063075254,0.548413967588197
"1032",0.058621296019527,0.00711887372620111
"1035",0.293058928527305,0.0666846115933616
"1040",0.759547096489604,0.519473505337017
"1042",0.418230838532312,0.200057192053835
"1050",0.611365861630656,0.349300937373547
"1052",0.611627804441301,0.353089562108311
"1055",0.305016025130437,0.0845294048278085
"1056",0.246082828748988,0.026975502922267
"1058",0.359829665188757,0.140993389755572
"1063",0.476867598720293,0.238302007810106
"1064",0.466641342247071,0.228304090482337
"1073",0.376538722976671,0.165240533871209
"1080",0.0822896836237234,0.0112145639072738
"1094",0.531089996099644,0.274717611988807
"1101",0.301196328848908,0.0714226463909832
"1113",0.765318830183659,0.530243698821911
"1115",0.0938278600122784,0.0114480456893305
"1117",0.782657767325046,0.541801557889243
"1129",0.0940224234400818,0.011443136975221
"1142",0.866123617464041,0.548854724542818
"1149",0.326284793033888,0.100541634430068
"1150",0.121619113231569,0.0130855224177208
"1158",0.716982814211203,0.474229761716676
"1163",0.251449385242416,0.0266877798952195
"1165",0.276326385008082,0.0533520654397717
"1170",0.546480977150756,0.289404981626095
"1175",0.361817149948148,0.141042093963509
"1178",0.449840248378689,0.222092135807571
"1181",0.354304750543824,0.131366183847736
"1195",0.872158418947266,0.548140937575801
"1196",0.286506829072288,0.0537506539437872
"1202",0.301011846718637,0.0757722851784395
"1203",0.732240657019402,0.489356174705141
"1225",0.754895109219878,0.51217441527299
"1227",0.804458301841575,0.544303800389077
"1230",0.508115326629719,0.258679785254007
"1233",0.170701527910168,0.0183912459423394
"1234",0.872158418947266,0.54901559809664
"1239",0.681760999324215,0.423545426247859
"1240",0.621365653242274,0.361842609469775
"1243",0.55829154445046,0.303515453522377
"1245",0.356681083236866,0.138333918665415
"1248",0.56235970231907,0.303482203511106
"1255",0.588988703352008,0.330943720825928
"1257",0.615601247248122,0.357312238357796
"1258",0.366546292874685,0.150112528677546
"1263",0.803769275810649,0.543934601452443
"1268",0.611358931198476,0.353327682479038
"1280",0.872158418947266,0.549761975009168
"1289",0.872158418947266,0.549622052559175
"1292",0.872158418947266,0.548254300993419
"1295",0.67135685444648,0.413627001827118
"1303",0.517942116717276,0.259899058407108
"1307",0.217667630634063,0.0228516723001963
"1309",0.281387535181505,0.0531963772240647
"1312",0.27082963643459,0.0403310250337172
"1313",0.734912225308941,0.489457533723306
"1317",0.789743328693877,0.542645295030799
"1320",0.2115151362528,0.0222704439213557
"1322",0.254033101132638,0.0271175062446864
"1328",0.749810824576958,0.508205818000473
"1330",0.872158418947266,0.54841699240645
"1337",0.681928974270629,0.427671504527586
"1340",0.661581486365463,0.403182219468486
"1342",0.68874129615726,0.437370895875576
"1360",0.652431458336695,0.395098999797134
"1361",0.658963983654388,0.403110955301764
"1364",0.380726237666313,0.16490065559152
"1365",0.176416013294046,0.0188656031865656
"1374",0.866881717811816,0.548954822043992
